
> rogue@1.0.0 sim:batch-report
> tsc -p ./tsconfig.runtime.json && tsc -p ./tsconfig.tests.json && node ./scripts/run-batch-sim-report.js --resume --output /Users/andrew/proj/rouge/artifacts/balance/background-full-matrix.json --class amazon,assassin,barbarian,druid,necromancer,paladin,sorceress --policy aggressive,balanced,control,bulwark --through-act 5 --probe-runs 0 --max-turns 36 --seeds 5 --stability-checks 5

[61/140] Druid / Aggressive / seed 2: run_complete, act 5, level 52
[62/140] Druid / Aggressive / seed 3: run_complete, act 5, level 52
[63/140] Druid / Balanced / seed 0: run_failed, act 4, level 33 fail Chaos Sanctuary / Diablo
[64/140] Druid / Balanced / seed 1: run_failed, act 4, level 33 fail Chaos Sanctuary / Diablo
[65/140] Druid / Aggressive / seed 4: run_complete, act 5, level 52
[66/140] Druid / Balanced / seed 2: run_failed, act 4, level 33 fail Chaos Sanctuary / Diablo
[67/140] Druid / Balanced / seed 3: run_failed, act 4, level 33 fail Chaos Sanctuary / Diablo
[68/140] Druid / Control / seed 0: run_failed, act 4, level 33 fail Chaos Sanctuary / Diablo
[69/140] Druid / Balanced / seed 4: run_complete, act 5, level 52
[70/140] Druid / Control / seed 1: run_failed, act 4, level 33 fail Chaos Sanctuary / Diablo
[71/140] Druid / Control / seed 2: run_complete, act 5, level 52
[72/140] Druid / Control / seed 3: run_failed, act 4, level 33 fail Chaos Sanctuary / Diablo
[73/140] Druid / Control / seed 4: run_failed, act 4, level 33 fail Chaos Sanctuary / Diablo
[74/140] Druid / Bulwark / seed 0: run_failed, act 4, level 33 fail Chaos Sanctuary / Diablo
[75/140] Druid / Bulwark / seed 1: run_failed, act 4, level 33 fail Chaos Sanctuary / Diablo
[76/140] Druid / Bulwark / seed 2: run_failed, act 4, level 33 fail Chaos Sanctuary / Diablo
[77/140] Druid / Bulwark / seed 4: run_failed, act 4, level 33 fail Chaos Sanctuary / Diablo
[78/140] Druid / Bulwark / seed 3: run_complete, act 5, level 52
[79/140] Necromancer / Aggressive / seed 0: run_complete, act 5, level 52
[80/140] Necromancer / Aggressive / seed 1: run_failed, act 4, level 33 fail Chaos Sanctuary / Diablo
[81/140] Necromancer / Aggressive / seed 2: run_complete, act 5, level 52
[82/140] Necromancer / Aggressive / seed 4: run_failed, act 4, level 33 fail Chaos Sanctuary / Diablo
[83/140] Necromancer / Balanced / seed 0: run_failed, act 4, level 33 fail Chaos Sanctuary / Diablo
[84/140] Necromancer / Balanced / seed 1: run_failed, act 4, level 33 fail Chaos Sanctuary / Diablo
